Time,hour,minute,second,X-axis (g),Y-axis (g),Z-axis (g),Locomotion_Chloe,Feeding_Chloe,Locomotion_Steven,Feeding_Steven,IteragreementLocom,IteragreementFeeding
15:31:06,15,31,6,0.320313,0.765625,0.21875,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:07,15,31,7,0.40625,0.886719,0.117188,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:08,15,31,8,0.433594,0.871094,-0.023438,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:09,15,31,9,0.652344,0.789063,0.078125,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:10,15,31,10,0.417969,0.84375,0.054688,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:11,15,31,11,0.347656,0.839844,0.058594,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:12,15,31,12,0.34375,0.839844,-0.058594,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:13,15,31,13,0.226563,0.769531,0.078125,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:14,15,31,14,0.0625,0.964844,0.328125,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:15,15,31,15,0.132813,1.046875,0.027344,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:16,15,31,16,0.222656,0.628906,0.136719,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:17,15,31,17,0.566406,0.480469,0.417969,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:18,15,31,18,0.738281,0.644531,0.347656,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:19,15,31,19,0.738281,0.542969,0.332031,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:20,15,31,20,0.8125,0.386719,0.363281,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:21,15,31,21,0.703125,0.539063,0.296875,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:22,15,31,22,0.789063,0.539063,0.21875,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:23,15,31,23,0.5,0.46875,-0.140625,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:24,15,31,24,-0.027344,1.085938,0.027344,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:25,15,31,25,0.46875,0.761719,0.476563,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:26,15,31,26,0.589844,0.675781,0.410156,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:27,15,31,27,0.476563,0.417969,0.222656,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:28,15,31,28,0.703125,0.457031,0.429688,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:29,15,31,29,0.851563,1.550781,-0.753906,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:30,15,31,30,0.355469,0.789063,0.394531,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
15:31:31,15,31,31,0.402344,0.890625,0.066406,Standing,Eating,Standing,Eating,StandingStanding,EatingEating
